Date,Exchange Rate,Inflation Rate,Current Account,Interest Rate
12/31/2004,58.46291667,7.4446,-0.75816852,-0.068118194
12/31/2005,59.58208333,9.0633,-3.003782624,1.142345815
12/31/2006,60.33,7.9211,-4.915343423,1.94234451
12/31/2007,60.83666667,7.5987,-5.447360948,4.189272918
12/31/2008,70.975,20.2861,-9.20431632,-0.236896632
12/31/2009,81.83125,13.6478,-2.374882004,-5.079301224
12/31/2010,85.20583333,12.9389,-0.764256567,2.879795804
12/31/2011,86.595,11.9161,-1.03330059,-4.367503613
12/31/2012,93.66166667,9.6824,-1.043748198,7.125312698
12/31/2013,101.87,7.6922,-1.909881224,4.692979943
12/31/2014,101.005,7.1894,-1.496966237,4.020467658
12/31/2015,102.9566667,2.5293,-1.036014221,5.806906383
12/31/2016,104.6266667,3.7651,-2.580577183,8.321458917
12/31/2017,105.38,4.0854,-5.312331129,4.034694907
12/31/2018,122.5316667,5.0781,-5.995210729,5.925814506
12/31/2019,150.6491667,10.5784,-2.567390218,3.325561863
